Year,League,Team,State
1950,NBA,Minneapolis Lakers,Minnesota
1950,MLB,New York Yankees,New York
1950,NHL,Detroit Red Wings,Michigan
1951,NBA,Rochester Royals,New York
1951,MLB,New York Yankees,New York
1952,NBA,Minneapolis Lakers,Minnesota
1952,MLB,New York Yankees,New York
1952,NHL,Detroit Red Wings,Michigan
1953,NBA,Minneapolis Lakers,Minnesota
1953,MLB,New York Yankees,New York
1954,NBA,Minneapolis Lakers,Minnesota
1954,MLB,New York Giants,New York
1954,NHL,Detroit Red Wings,Michigan
1955,NBA,Syracuse Nationals,New York
1955,MLB,Brooklyn Dodgers,New York
1955,NHL,Detroit Red Wings,Michigan
1956,NBA,Philadelphia Warriors,Pennsylvania
1956,MLB,New York Yankees,New York
1957,NBA,Boston Celtics,Massachusetts
1957,MLB,Milwaukee Braves,Wisconsin
1958,NBA,St. Louis Hawks,Missouri
1958,MLB,New York Yankees,New York
1959,NBA,Boston Celtics,Massachusetts
1959,MLB,Los Angeles Dodgers,California
1960,NBA,Boston Celtics,Massachusetts
1960,MLB,Pittsburgh Pirates,Pennsylvania
1961,NBA,Boston Celtics,Massachusetts
1961,MLB,New York Yankees,New York
1961,NHL,Chicago Blackhawks,Illinois
1962,NBA,Boston Celtics,Massachusetts
1962,MLB,New York Yankees,New York
1963,NBA,Boston Celtics,Massachusetts
1963,MLB,Los Angeles Dodgers,California
1964,NBA,Boston Celtics,Massachusetts
1964,MLB,St. Louis Cardinals,Missouri
1965,NBA,Boston Celtics,Massachusetts
1965,MLB,Los Angeles Dodgers,California
1966,NBA,Boston Celtics,Massachusetts
1966,MLB,Baltimore Orioles,Maryland
1967,NBA,Philadelphia 76ers,Pennsylvania
1967,MLB,St. Louis Cardinals,Missouri
1967,NFL,Green Bay,Wisconsin
1968,NBA,Boston Celtics,Massachusetts
1968,MLB,Detroit Tigers,Michigan
1968,NFL,Green Bay,Wisconsin
1969,NBA,Boston Celtics,Massachusetts
1969,MLB,New York Mets,New York
1969,NFL,NY Jets,New York
1970,NBA,New York Knicks,New York
1970,MLB,Baltimore Orioles,Maryland
1970,NFL,Kansas City,Missouri
1970,NHL,Boston Bruins,Massachusetts
1971,NBA,Milwaukee Bucks,Wisconsin
1971,MLB,Pittsburgh Pirates,Pennsylvania
1971,NFL,Baltimore,Maryland
1972,NBA,Los Angeles Lakers,California
1972,MLB,Oakland Athletics,California
1972,NFL,Dallas,Texas
1972,NHL,Boston Bruins,Massachusetts
1973,NBA,New York Knicks,New York
1973,MLB,Oakland Athletics,California
1973,NFL,Miami,Florida
1974,NBA,Boston Celtics,Massachusetts
1974,MLB,Oakland Athletics,California
1974,NFL,Miami,Florida
1974,NHL,Philadelphia Flyers,Pennsylvania
1975,NBA,Golden State Warriors,California
1975,MLB,Cincinnati Reds,Ohio
1975,NFL,Pittsburgh,Pennsylvania
1975,NHL,Philadelphia Flyers,Pennsylvania
1976,NBA,Boston Celtics,Massachusetts
1976,MLB,Cincinnati Reds,Ohio
1976,NFL,Pittsburgh,Pennsylvania
1977,NBA,Portland Trail Blazers,Oregon
1977,MLB,New York Yankees,New York
1977,NFL,Oakland,California
1978,NBA,Washington Bullets,Washington DC
1978,MLB,New York Yankees,New York
1978,NFL,Dallas,Texas
1979,NBA,Seattle SuperSonics,Washington
1979,MLB,Pittsburgh Pirates,Pennsylvania
1979,NFL,Pittsburgh,Pennsylvania
1980,NBA,Los Angeles Lakers,California
1980,MLB,Philadelphia Phillies,Pennsylvania
1980,NFL,Pittsburgh,Pennsylvania
1980,NHL,New York Islanders,New York
1981,NBA,Boston Celtics,Massachusetts
1981,MLB,Los Angeles Dodgers,California
1981,NFL,Oakland,California
1981,NHL,New York Islanders,New York
1982,NBA,Los Angeles Lakers,California
1982,MLB,St. Louis Cardinals,Missouri
1982,NFL,San Francisco,California
1982,NHL,New York Islanders,New York
1983,NBA,Philadelphia 76ers,Pennsylvania
1983,MLB,Baltimore Orioles,Maryland
1983,NFL,Washington,Washington DC
1983,NHL,New York Islanders,New York
1984,NBA,Boston Celtics,Massachusetts
1984,MLB,Detroit Tigers,Michigan
1984,NFL,LA Raiders,California
1985,NBA,Los Angeles Lakers,California
1985,MLB,Kansas City Royals,Missouri
1985,NFL,San Francisco,California
1986,NBA,Boston Celtics,Massachusetts
1986,MLB,New York Mets,New York
1986,NFL,Chicago,Illinois
1987,NBA,Los Angeles Lakers,California
1987,MLB,Minnesota Twins,Minnesota
1987,NFL,NY Giants,New York
